Date,Open,High,Low,Close,Adj Close,Volume
2010-12-08,25300.000000,26262.500000,25112.500000,26025.000000,24130.994141,300
2010-12-09,25450.000000,26068.750000,25431.250000,25725.000000,23852.824219,573
2010-12-10,25993.750000,26437.500000,25406.250000,25568.750000,23707.945313,495
2010-12-13,24762.500000,25243.750000,24456.250000,25100.000000,23273.310547,142
2010-12-14,24993.750000,25356.250000,24625.000000,25093.750000,23267.511719,134
2010-12-15,25581.250000,26118.750000,25150.000000,26025.000000,24130.994141,116
2010-12-16,26200.000000,27337.500000,26200.000000,26818.750000,24866.972656,117
2010-12-17,26637.500000,27356.250000,26518.750000,26793.750000,24843.794922,31
2010-12-20,26425.000000,26931.250000,26187.500000,26375.000000,24455.519531,79
2010-12-21,26212.500000,26806.250000,26200.000000,26462.500000,24536.652344,21
2010-12-22,26431.250000,27043.750000,26431.250000,27025.000000,25058.212891,20
2010-12-23,27018.750000,27206.250000,26268.750000,26618.750000,24681.529297,14
2010-12-27,26600.000000,27450.000000,26600.000000,26956.250000,24994.468750,41
2010-12-28,25912.500000,26393.750000,25450.000000,25518.750000,23661.585938,57
2010-12-29,25356.250000,25575.000000,25125.000000,25356.250000,23510.912109,14
2010-12-30,25281.250000,25887.500000,25131.250000,25743.750000,23870.210938,12
2010-12-31,25512.500000,25606.250000,25025.000000,25237.500000,23400.802734,42
2011-01-03,24806.250000,26087.500000,24806.250000,25812.500000,23933.957031,54
2011-01-04,26362.500000,28112.500000,26275.000000,27262.500000,25278.429688,90
2011-01-05,27893.750000,28600.000000,27668.750000,27962.500000,25927.492188,52
2011-01-06,27931.250000,29568.750000,27931.250000,29400.000000,27260.371094,88
2011-01-07,29768.750000,29768.750000,28443.750000,29412.500000,27271.962891,93
2011-01-10,29275.000000,29856.250000,29112.500000,29218.750000,27092.312500,27
2011-01-11,28362.500000,28787.500000,28025.000000,28062.500000,26020.208984,34
2011-01-12,27918.750000,28781.250000,27918.750000,28143.750000,26095.544922,39
2011-01-13,27968.750000,30350.000000,27962.500000,30031.250000,27845.683594,69
2011-01-14,30575.000000,31543.750000,30575.000000,31243.750000,28969.939453,142
2011-01-18,30450.000000,30593.750000,29912.500000,30212.500000,28013.740234,102
2011-01-19,29562.500000,31118.750000,29556.250000,30768.750000,28529.507813,80
2011-01-20,32018.750000,32862.500000,31450.000000,31575.000000,29277.082031,246
2011-01-21,31737.500000,32300.000000,31250.000000,32250.000000,29902.957031,91
2011-01-24,32350.000000,33243.750000,31637.500000,32912.500000,30517.244141,179
2011-01-25,33706.250000,34037.500000,33043.750000,33356.250000,30928.699219,204
2011-01-26,33400.000000,33462.500000,30668.750000,30706.250000,28471.554688,277
2011-01-27,30856.250000,32743.750000,30850.000000,32312.500000,29960.908203,291
2011-01-28,32781.250000,32837.500000,30437.500000,31606.250000,29306.058594,255
2011-01-31,31762.500000,32600.000000,31393.750000,32056.250000,29723.306641,117
2011-02-01,31218.750000,31881.250000,29925.000000,30218.750000,28019.535156,162
2011-02-02,30156.250000,31206.250000,30075.000000,30768.750000,28529.507813,110
2011-02-03,30462.500000,31143.750000,28843.750000,28981.250000,26872.093750,170
2011-02-04,28606.250000,29581.250000,28518.750000,29400.000000,27260.371094,112
2011-02-07,28925.000000,29500.000000,28793.750000,29450.000000,27306.734375,59
2011-02-08,28531.250000,28718.750000,28050.000000,28118.750000,26072.367188,88
2011-02-09,28175.000000,29275.000000,27843.750000,28981.250000,26872.093750,71
2011-02-10,29656.250000,30250.000000,29231.250000,29512.500000,27364.681641,68
2011-02-11,29393.750000,29981.250000,28768.750000,29893.750000,27718.189453,35
2011-02-14,29300.000000,29343.750000,28806.250000,29018.750000,26906.867188,118
2011-02-15,28312.500000,28368.750000,27706.250000,27950.000000,25915.894531,146
2011-02-16,27681.250000,28425.000000,27512.500000,27618.750000,25608.755859,175
2011-02-17,27231.250000,27500.000000,27043.750000,27081.250000,25110.373047,129
2011-02-18,26662.500000,26787.500000,25906.250000,26487.500000,24559.833984,137
2011-02-22,25406.250000,26975.000000,25300.000000,26918.750000,24959.697266,120
2011-02-23,26525.000000,26725.000000,25493.750000,25918.750000,24032.476563,199
2011-02-24,25681.250000,27618.750000,25668.750000,27556.250000,25550.800781,260
2011-02-25,27075.000000,27075.000000,26387.500000,26387.500000,24467.107422,66
2011-02-28,26106.250000,26375.000000,25568.750000,25568.750000,23707.945313,50
2011-03-01,25131.250000,25206.250000,24512.500000,24787.500000,22983.550781,65
2011-03-02,24431.250000,25056.250000,24431.250000,24675.000000,22879.242188,25
2011-03-03,25331.250000,26018.750000,25275.000000,25400.000000,23551.478516,58
2011-03-04,25268.750000,25268.750000,24712.500000,25043.750000,23221.154297,54
2011-03-07,23456.250000,25543.750000,23456.250000,25381.250000,23534.091797,24
2011-03-08,25562.500000,26500.000000,25525.000000,25837.500000,23957.138672,64
2011-03-09,25631.250000,26550.000000,25500.000000,26306.250000,24391.775391,47
2011-03-10,27518.750000,28356.250000,27362.500000,28150.000000,26101.341797,114
2011-03-11,28687.500000,28825.000000,26762.500000,27131.250000,25156.734375,86
2011-03-14,27175.000000,27812.500000,26993.750000,27256.250000,25272.634766,32
2011-03-15,29818.750000,29981.250000,28275.000000,28450.000000,26379.509766,132
2011-03-16,28518.750000,30193.750000,27968.750000,29706.250000,27544.333984,157
2011-03-17,29131.250000,29756.250000,28918.750000,29212.500000,27086.515625,43
2011-03-18,28431.250000,28725.000000,27800.000000,28250.000000,26194.064453,74
2011-03-21,27131.250000,27593.750000,26825.000000,26825.000000,24872.773438,50
2011-03-22,27100.000000,27325.000000,26331.250000,26618.750000,24681.529297,49
2011-03-23,26387.500000,26487.500000,24618.750000,24775.000000,22971.962891,101
2011-03-24,24968.750000,25131.250000,23868.750000,24950.000000,23134.230469,88
2011-03-25,24900.000000,25587.500000,24487.500000,25375.000000,23528.296875,68
2011-03-28,25943.750000,26293.750000,25406.250000,26256.250000,24345.410156,74
2011-03-29,26287.500000,26600.000000,25531.250000,26193.750000,24287.462891,38
2011-03-30,25525.000000,26056.250000,25131.250000,25175.000000,23342.851563,65
2011-03-31,24681.250000,24881.250000,24418.750000,24818.750000,23012.527344,32
2011-04-01,24987.500000,25368.750000,24718.750000,25087.500000,23261.720703,87
2011-04-04,24775.000000,25093.750000,24337.500000,25025.000000,23203.767578,29
2011-04-05,25025.000000,25137.500000,22606.250000,22631.250000,20984.228516,86
2011-04-06,22225.000000,22843.750000,22000.000000,22531.250000,20891.505859,99
2011-04-07,22662.500000,22843.750000,22081.250000,22700.000000,21047.972656,54
2011-04-08,21906.250000,22150.000000,21593.750000,21750.000000,20167.113281,52
2011-04-11,21837.500000,23337.500000,21831.250000,22950.000000,21279.779297,88
2011-04-12,23243.750000,24062.500000,22968.750000,23700.000000,21975.197266,114
2011-04-13,23243.750000,24100.000000,23156.250000,23862.500000,22125.875000,54
2011-04-14,23712.500000,23918.750000,23037.500000,23281.250000,21586.921875,85
2011-04-15,23306.250000,23693.750000,23100.000000,23425.000000,21720.208984,54
2011-04-18,23450.000000,24831.250000,23450.000000,23881.250000,22143.257813,76
2011-04-19,23843.750000,24068.750000,23200.000000,23237.500000,21546.357422,79
2011-04-20,22643.750000,22906.250000,22137.500000,22893.750000,21227.623047,111
2011-04-21,22431.250000,22781.250000,22262.500000,22487.500000,20850.939453,56
2011-04-25,22337.500000,23725.000000,22337.500000,23600.000000,21882.474609,104
2011-04-26,23843.750000,24575.000000,23843.750000,24306.250000,22537.324219,98
2011-04-27,23956.250000,24812.500000,23031.250000,23137.500000,21453.632813,81
2011-04-28,22887.500000,23500.000000,22450.000000,23387.500000,21685.443359,73
2011-04-29,23318.750000,23431.250000,22500.000000,22706.250000,21053.769531,48
2011-05-02,23268.750000,24593.750000,22756.250000,24200.000000,22438.812500,136
2011-05-03,24537.500000,26268.750000,24350.000000,25731.250000,23858.617188,198
2011-05-04,25625.000000,26762.500000,25181.250000,25668.750000,23800.667969,218
2011-05-05,26525.000000,28331.250000,25975.000000,27618.750000,25608.755859,342
2011-05-06,26818.750000,27731.250000,26087.500000,27487.500000,25487.058594,229
2011-05-09,26843.750000,27375.000000,26431.250000,26481.250000,24554.039063,126
2011-05-10,26331.250000,26918.750000,26243.750000,26837.500000,24884.363281,72
2011-05-11,27050.000000,29018.750000,26768.750000,28568.750000,26489.617188,161
2011-05-12,29300.000000,30031.250000,28300.000000,28962.500000,26854.708984,170
2011-05-13,28868.750000,30300.000000,28250.000000,29425.000000,27283.550781,105
2011-05-16,29356.250000,29781.250000,28068.750000,29131.250000,27011.179688,161
2011-05-17,29550.000000,30025.000000,28437.500000,28568.750000,26489.617188,110
2011-05-18,28156.250000,28475.000000,27606.250000,28187.500000,26136.115234,202
2011-05-19,28156.250000,28500.000000,27718.750000,27931.250000,25898.511719,238
2011-05-20,27931.250000,28968.750000,27037.500000,27743.750000,25724.656250,104
2011-05-23,28143.750000,28556.250000,27262.500000,28206.250000,26153.498047,111
2011-05-24,27637.500000,27650.000000,26612.500000,26906.250000,24948.109375,109
2011-05-25,26750.000000,27037.500000,26043.750000,26518.750000,24588.806641,65
2011-05-26,26468.750000,27106.250000,26381.250000,26468.750000,24542.449219,119
2011-05-27,26112.500000,26112.500000,25512.500000,25662.500000,23794.875000,200
2011-05-31,25225.000000,26081.250000,25168.750000,25462.500000,23609.429688,183
2011-06-01,25562.500000,26443.750000,25262.500000,26412.500000,24490.291016,63
2011-06-02,26331.250000,27506.250000,25837.500000,26806.250000,24855.384766,138
2011-06-03,27162.500000,27387.500000,26500.000000,26937.500000,24977.083984,151
2011-06-06,27212.500000,28693.750000,26825.000000,28543.750000,26466.437500,154
2011-06-07,28056.250000,28918.750000,27825.000000,28718.750000,26628.699219,96
2011-06-08,29343.750000,30593.750000,28975.000000,29968.750000,27787.730469,246
2011-06-09,29687.500000,30106.250000,28512.500000,28912.500000,26808.351563,102
2011-06-10,29562.500000,30437.500000,29500.000000,29956.250000,27776.140625,141
2011-06-13,30243.750000,31325.000000,29712.500000,30925.000000,28674.386719,242
2011-06-14,30581.250000,30587.500000,29518.750000,29943.750000,27764.548828,220
2011-06-15,30343.750000,30875.000000,29187.500000,30300.000000,28094.871094,209
2011-06-16,30462.500000,32493.750000,30350.000000,31737.500000,29427.757813,336
2011-06-17,31718.750000,31937.500000,30625.000000,31493.750000,29201.746094,139
2011-06-20,31487.500000,31487.500000,30662.500000,31175.000000,28906.193359,150
2011-06-21,30600.000000,31225.000000,28900.000000,29056.250000,26941.636719,115
2011-06-22,29006.250000,29043.750000,27587.500000,28350.000000,26286.785156,213
2011-06-23,29768.750000,30512.500000,29062.500000,29081.250000,26964.820313,212
2011-06-24,29187.500000,30712.500000,29187.500000,30575.000000,28349.857422,196
2011-06-27,31012.500000,31450.000000,30281.250000,30637.500000,28407.808594,154
2011-06-28,30300.000000,30837.500000,29556.250000,29750.000000,27584.898438,197
2011-06-29,29293.750000,29387.500000,27806.250000,28481.250000,26408.484375,128
2011-06-30,28206.250000,28843.750000,28043.750000,28262.500000,26205.656250,175
2011-07-01,28706.250000,29850.000000,28700.000000,29175.000000,27051.746094,238
2011-07-05,27756.250000,28243.750000,26993.750000,27312.500000,25324.794922,135
2011-07-06,26881.250000,27050.000000,26312.500000,26600.000000,24664.146484,85
2011-07-07,26243.750000,26493.750000,25862.500000,26487.500000,24559.833984,131
2011-07-08,26175.000000,26768.750000,25881.250000,26493.750000,24565.628906,97
2011-07-11,26331.250000,27375.000000,25981.250000,27068.750000,25098.781250,151
2011-07-12,27125.000000,27125.000000,25031.250000,25406.250000,23557.275391,168
2011-07-13,24643.750000,24687.500000,23106.250000,23693.750000,21969.404297,316
2011-07-14,23106.250000,24131.250000,23050.000000,23993.750000,22247.572266,273
2011-07-15,23850.000000,23937.500000,23318.750000,23356.250000,21656.462891,113
2011-07-18,22850.000000,22881.250000,22337.500000,22606.250000,20961.046875,175
2011-07-19,22456.250000,23568.750000,22400.000000,23318.750000,21621.695313,303
2011-07-20,23606.250000,23787.500000,22662.500000,22818.750000,21158.080078,183
2011-07-21,22693.750000,23250.000000,22487.500000,23031.250000,21355.117188,141
2011-07-22,22762.500000,22925.000000,22312.500000,22481.250000,20845.140625,83
2011-07-25,21993.750000,22943.750000,21806.250000,22856.250000,21192.851563,132
2011-07-26,22906.250000,23162.500000,22625.000000,22843.750000,21181.265625,185
2011-07-27,22531.250000,24262.500000,22343.750000,24218.750000,22456.193359,238
2011-07-28,24500.000000,25268.750000,24356.250000,24500.000000,22716.976563,295
2011-07-29,24712.500000,25618.750000,24687.500000,25518.750000,23661.585938,248
2011-08-01,25518.750000,25650.000000,24337.500000,25056.250000,23232.742188,325
2011-08-02,24418.750000,24812.500000,23650.000000,24181.250000,22421.423828,304
2011-08-03,23612.500000,23756.250000,23068.750000,23518.750000,21807.140625,92
2011-08-04,23168.750000,26925.000000,23156.250000,26168.750000,24264.283203,350
2011-08-05,25925.000000,28081.250000,25000.000000,26593.750000,24658.349609,559
2011-08-08,25687.500000,26693.750000,24131.250000,26662.500000,24722.097656,473
2011-08-09,25618.750000,27093.750000,24406.250000,24406.250000,22630.050781,445
2011-08-10,24412.500000,25168.750000,22087.500000,22812.500000,21152.289063,226
2011-08-11,23350.000000,24162.500000,22312.500000,22581.250000,20937.867188,270
2011-08-12,23118.750000,23775.000000,22900.000000,23056.250000,21378.294922,133
2011-08-15,23181.250000,23487.500000,21693.750000,21762.500000,20178.699219,301
2011-08-16,21768.750000,22381.250000,21537.500000,22206.250000,20590.158203,105
2011-08-17,22156.250000,22156.250000,21262.500000,21843.750000,20254.042969,96
2011-08-18,21587.500000,22900.000000,21587.500000,22593.750000,20949.455078,246
2011-08-19,22006.250000,22006.250000,21062.500000,21450.000000,19888.949219,227
2011-08-22,20806.250000,20968.750000,19493.750000,19750.000000,18312.664063,173
2011-08-23,20531.250000,21581.250000,20118.750000,21118.750000,19581.798828,293
2011-08-24,21562.500000,22937.500000,21318.750000,22156.250000,20543.796875,685
2011-08-25,22825.000000,23175.000000,21037.500000,21362.500000,19807.812500,289
2011-08-26,21106.250000,22318.750000,20275.000000,20312.500000,18834.224609,134
2011-08-29,20125.000000,21106.250000,20118.750000,20675.000000,19170.347656,360
2011-08-30,20193.750000,20568.750000,19806.250000,19993.750000,18538.675781,218
2011-08-31,20000.000000,20643.750000,19687.500000,20081.250000,18619.806641,96
2011-09-01,20118.750000,20375.000000,19400.000000,19725.000000,18289.484375,135
2011-09-02,19168.750000,19187.500000,18525.000000,18743.750000,17379.644531,426
2011-09-06,18575.000000,19068.750000,17743.750000,18562.500000,17211.585938,900
2011-09-07,19581.250000,19775.000000,18450.000000,18456.250000,17113.068359,402
2011-09-08,17793.750000,18100.000000,17612.500000,17781.250000,16487.193359,287
2011-09-09,18087.500000,18462.500000,17631.250000,18218.750000,16892.855469,321
2011-09-12,18856.250000,20131.250000,18331.250000,19256.250000,17854.845703,735
2011-09-13,19556.250000,19881.250000,18781.250000,18968.750000,17588.275391,261
2011-09-14,19175.000000,19775.000000,19037.500000,19725.000000,18289.484375,298
2011-09-15,20012.500000,20800.000000,19862.500000,19918.750000,18469.130859,437
2011-09-16,19906.250000,19906.250000,19018.750000,19212.500000,17814.281250,394
2011-09-19,19150.000000,19600.000000,18718.750000,19450.000000,18034.498047,466
2011-09-20,19387.500000,19593.750000,17681.250000,18143.750000,16823.310547,751
2011-09-21,18250.000000,18875.000000,17443.750000,18875.000000,17501.347656,831
2011-09-22,20837.500000,22181.250000,20800.000000,21750.000000,20167.113281,590
2011-09-23,23293.750000,25000.000000,22900.000000,23956.250000,22212.798828,415
2011-09-26,24468.750000,25125.000000,22981.250000,23137.500000,21453.632813,428
2011-09-27,21418.750000,23587.500000,21231.250000,23343.750000,21644.873047,513
2011-09-28,23137.500000,25425.000000,22675.000000,25368.750000,23522.500000,621
2011-09-29,24456.250000,25818.750000,24175.000000,25075.000000,23250.126953,654
2011-09-30,25487.500000,25650.000000,23562.500000,24825.000000,23018.322266,320
2011-10-03,23837.500000,25500.000000,23400.000000,25475.000000,23621.021484,655
