Date,Open,High,Low,Close,Adj Close,Volume
2013-10-03,810800.000000,824800.000000,810800.000000,824800.000000,759525.750000,0
2013-10-04,865000.000000,925400.000000,865000.000000,890000.000000,819565.937500,0
2013-10-07,943400.000000,951200.000000,887600.000000,900400.000000,829142.937500,0
2013-10-08,887000.000000,1014800.000000,887000.000000,1003200.000000,923807.250000,1
2013-10-09,1072400.000000,1101400.000000,1032600.000000,1044600.000000,961930.812500,1
2013-10-10,1082400.000000,1087800.000000,1016800.000000,1082400.000000,996739.437500,0
2013-10-11,1151000.000000,1208400.000000,1145600.000000,1208400.000000,1112767.750000,1
2013-10-14,1125400.000000,1195600.000000,1125400.000000,1195600.000000,1100980.875000,1
2013-10-15,1213000.000000,1213000.000000,1090000.000000,1093400.000000,1006868.812500,1
2013-10-16,1107800.000000,1166000.000000,1105200.000000,1148400.000000,1057516.375000,1
2013-10-17,970800.000000,974800.000000,891400.000000,938400.000000,864135.562500,1
2013-10-18,958800.000000,991400.000000,934200.000000,978600.000000,901154.062500,1
2013-10-21,927600.000000,930000.000000,866000.000000,866000.000000,797465.187500,2
2013-10-22,795600.000000,807800.000000,701600.000000,707400.000000,651416.750000,4
2013-10-23,737400.000000,766400.000000,722400.000000,766200.000000,705563.312500,2
2013-10-24,717600.000000,717600.000000,654400.000000,667000.000000,614213.937500,1
2013-10-25,690600.000000,696400.000000,653400.000000,656000.000000,604084.562500,1
2013-10-28,672200.000000,675000.000000,638200.000000,667600.000000,614766.562500,1
2013-10-29,687000.000000,759000.000000,676600.000000,756000.000000,696170.562500,1
2013-10-30,720400.000000,821000.000000,685000.000000,739200.000000,680700.000000,1
2013-10-31,801400.000000,852000.000000,798800.000000,850000.000000,782731.625000,1
2013-11-01,879200.000000,941000.000000,876000.000000,933200.000000,859347.125000,1
2013-11-04,907000.000000,930800.000000,864800.000000,865800.000000,797281.125000,1
2013-11-05,886600.000000,930000.000000,886600.000000,906000.000000,834299.750000,0
2013-11-06,877400.000000,886800.000000,858000.000000,871200.000000,802253.562500,1
2013-11-07,926200.000000,974600.000000,907000.000000,970200.000000,893419.000000,2
2013-11-08,1015000.000000,1078400.000000,940800.000000,951400.000000,876106.687500,1
2013-11-11,1008000.000000,1010800.000000,957200.000000,957200.000000,881447.625000,0
2013-11-12,986800.000000,1045800.000000,943000.000000,1034000.000000,952169.750000,1
2013-11-13,1017800.000000,1025000.000000,992000.000000,995200.000000,916440.375000,0
2013-11-14,950000.000000,963200.000000,883800.000000,909200.000000,837246.375000,1
2013-11-15,917600.000000,946200.000000,906400.000000,946200.000000,871318.125000,1
2013-11-18,978200.000000,1009600.000000,968800.000000,994400.000000,915703.687500,1
2013-11-19,993200.000000,1020600.000000,984800.000000,1018600.000000,937988.562500,0
2013-11-20,1080800.000000,1191000.000000,1039800.000000,1163200.000000,1071145.125000,1
2013-11-21,1203000.000000,1266200.000000,1174000.000000,1187400.000000,1093430.000000,1
2013-11-22,1175800.000000,1256800.000000,1140000.000000,1246400.000000,1147760.500000,1
2013-11-25,1336200.000000,1372800.000000,1250000.000000,1283000.000000,1181464.000000,1
2013-11-26,1342400.000000,1375800.000000,1317400.000000,1364200.000000,1256238.000000,1
2013-11-27,1330000.000000,1397800.000000,1326400.000000,1386000.000000,1276312.625000,1
2013-11-29,1344600.000000,1344600.000000,1200200.000000,1220000.000000,1123449.750000,1
2013-12-02,1318800.000000,1510200.000000,1318800.000000,1500000.000000,1381290.875000,1
2013-12-03,1544800.000000,1689000.000000,1476400.000000,1647800.000000,1517394.000000,1
2013-12-04,1589200.000000,1678600.000000,1431000.000000,1484600.000000,1367109.500000,2
2013-12-05,1606800.000000,1642400.000000,1529400.000000,1631800.000000,1502660.125000,1
2013-12-06,1587200.000000,1686200.000000,1533600.000000,1670200.000000,1538021.250000,1
2013-12-09,1565400.000000,1641000.000000,1540200.000000,1565400.000000,1441515.125000,1
2013-12-10,1340400.000000,1371200.000000,1297800.000000,1364800.000000,1256790.625000,1
