Date,Open,High,Low,Close,Adj Close,Volume
2008-11-21,143762.500000,164475.000000,126812.500000,127862.500000,125291.148438,2061
2008-11-24,118300.000000,123537.500000,96075.000000,105825.000000,103696.820313,2222
2008-11-25,97487.500000,108462.500000,96250.000000,100075.000000,98062.468750,2657
2008-11-26,106125.000000,106237.500000,88800.000000,88862.500000,87075.460938,2542
2008-11-28,90500.000000,90775.000000,86450.000000,86625.000000,84882.953125,627
2008-12-01,93750.000000,108862.500000,93412.500000,108425.000000,106244.539063,2072
2008-12-02,102762.500000,108375.000000,95637.500000,96125.000000,94191.914063,3522
2008-12-03,104225.000000,104225.000000,88262.500000,88900.000000,87112.203125,5374
2008-12-04,93500.000000,100462.500000,87100.000000,95862.500000,93934.679688,5115
2008-12-05,101037.500000,105962.500000,85150.000000,85150.000000,83437.609375,5493
2008-12-08,78925.000000,80725.000000,73500.000000,77187.500000,75635.242188,3886
2008-12-09,78962.500000,82100.000000,74112.500000,80700.000000,79077.109375,4695
2008-12-10,78325.000000,81750.000000,75450.000000,77925.000000,76357.906250,3290
2008-12-11,80000.000000,85875.000000,76312.500000,84300.000000,82604.710938,3287
2008-12-12,92175.000000,92500.000000,81112.500000,82000.000000,80350.960938,3338
2008-12-15,80675.000000,88712.500000,80475.000000,85250.000000,83535.609375,1921
2008-12-16,83162.500000,83262.500000,72187.500000,72537.500000,71078.742188,2384
2008-12-17,75000.000000,76262.500000,70687.500000,74312.500000,72818.062500,2706
2008-12-18,72812.500000,80762.500000,72500.000000,78337.500000,76762.125000,2802
2008-12-19,77262.500000,79300.000000,73400.000000,78125.000000,76553.890625,2681
2008-12-22,77762.500000,86237.500000,77700.000000,82125.000000,80473.445313,2620
2008-12-23,80762.500000,85312.500000,79525.000000,84075.000000,82384.218750,2162
2008-12-24,83375.000000,85000.000000,82375.000000,82975.000000,81306.351563,836
2008-12-26,81250.000000,83362.500000,80975.000000,81300.000000,79665.039063,580
2008-12-29,81312.500000,85787.500000,80875.000000,82087.500000,80436.703125,1419
2008-12-30,80450.000000,81875.000000,76250.000000,76662.500000,75120.789063,1785
2008-12-31,76062.500000,76425.000000,71150.000000,73000.000000,71531.953125,1451
2009-01-02,72325.000000,73825.000000,65400.000000,66600.000000,65260.652344,2569
2009-01-05,67125.000000,68625.000000,64787.500000,66675.000000,65334.144531,2657
2009-01-06,64687.500000,66650.000000,62900.000000,64875.000000,63570.351563,2617
2009-01-07,68125.000000,71550.000000,67312.500000,70587.500000,69167.976563,3409
2009-01-08,71850.000000,72825.000000,69487.500000,69612.500000,68212.585938,3746
2009-01-09,69075.000000,74500.000000,68925.000000,73662.500000,72181.132813,3446
2009-01-12,74887.500000,80862.500000,74500.000000,79375.000000,77778.742188,3729
2009-01-13,80400.000000,81475.000000,77375.000000,78762.500000,77178.570313,4270
2009-01-14,83112.500000,88137.500000,82600.000000,86612.500000,84870.703125,5541
2009-01-15,87312.500000,94637.500000,83300.000000,85975.000000,84246.023438,6686
2009-01-16,81600.000000,90050.000000,81250.000000,83987.500000,82298.507813,5951
2009-01-20,86375.000000,97500.000000,85625.000000,97350.000000,95392.273438,5868
2009-01-21,92450.000000,97812.500000,84250.000000,85012.500000,83302.882813,6122
2009-01-22,89712.500000,93600.000000,84875.000000,88750.000000,86965.210938,7101
2009-01-23,95050.000000,96025.000000,84825.000000,87500.000000,85740.343750,6879
2009-01-26,86087.500000,88587.500000,80512.500000,86025.000000,84295.023438,5024
2009-01-27,84700.000000,86287.500000,81662.500000,82937.500000,81269.617188,4704
2009-01-28,77825.000000,78737.500000,73412.500000,74775.000000,73271.250000,5133
2009-01-29,78250.000000,82200.000000,77575.000000,81875.000000,80228.468750,4640
2009-01-30,80962.500000,88700.000000,79862.500000,86850.000000,85103.429688,5927
2009-02-02,90962.500000,91862.500000,85900.000000,87537.500000,85777.109375,5168
2009-02-03,86062.500000,88900.000000,82337.500000,83750.000000,82065.765625,5202
2009-02-04,82500.000000,86112.500000,79462.500000,85062.500000,83351.875000,5562
2009-02-05,87325.000000,88750.000000,79312.500000,81237.500000,79603.796875,7070
2009-02-06,80275.000000,80725.000000,73412.500000,74262.500000,72769.062500,6510
2009-02-09,74337.500000,75775.000000,72212.500000,73725.000000,72242.359375,3622
2009-02-10,76000.000000,85425.000000,73950.000000,83825.000000,82139.257813,8671
2009-02-11,82762.500000,86000.000000,80950.000000,82375.000000,80718.421875,6586
2009-02-12,86437.500000,89812.500000,81562.500000,82162.500000,80510.187500,9071
2009-02-13,82525.000000,84687.500000,80500.000000,84375.000000,82678.195313,5962
2009-02-17,91962.500000,95487.500000,91137.500000,95487.500000,93567.234375,8214
2009-02-18,93000.000000,98825.000000,92887.500000,96212.500000,94277.648438,8866
2009-02-19,93337.500000,100000.000000,92125.000000,99375.000000,97376.546875,9075
2009-02-20,105050.000000,108675.000000,98862.500000,103000.000000,100928.640625,11741
2009-02-23,98775.000000,113750.000000,98750.000000,112675.000000,110409.085938,11311
2009-02-24,110462.500000,112700.000000,98575.000000,100112.500000,98099.210938,10015
2009-02-25,101912.500000,107400.000000,96825.000000,102775.000000,100708.171875,12606
2009-02-26,99012.500000,108162.500000,96925.000000,107600.000000,105436.125000,9340
2009-02-27,114162.500000,115250.000000,107525.000000,113225.000000,110948.023438,9631
2009-03-02,121000.000000,131362.500000,119212.500000,129937.500000,127324.437500,10576
2009-03-03,124687.500000,135837.500000,124300.000000,133100.000000,130423.335938,10280
2009-03-04,126425.000000,130912.500000,116975.000000,123150.000000,120673.429688,10545
2009-03-05,131725.000000,141875.000000,127700.000000,137825.000000,135053.328125,11804
2009-03-06,134675.000000,148750.000000,128637.500000,137512.500000,134747.093750,10760
2009-03-09,144087.500000,145000.000000,131400.000000,142225.000000,139364.812500,9275
2009-03-10,132975.000000,134587.500000,115825.000000,116250.000000,113912.171875,10037
2009-03-11,112375.000000,117912.500000,108900.000000,114837.500000,112528.093750,9562
2009-03-12,114737.500000,117637.500000,99450.000000,100887.500000,98858.632813,7308
2009-03-13,98425.000000,103700.000000,94725.000000,97925.000000,95955.710938,8680
2009-03-16,95000.000000,99687.500000,91475.000000,99300.000000,97303.054688,7035
2009-03-17,98987.500000,101262.500000,90112.500000,90475.000000,88655.531250,6863
2009-03-18,91662.500000,94087.500000,80787.500000,84037.500000,82347.484375,8538
