Date,Open,High,Low,Close,Adj Close,Volume
2010-02-11,32608.000000,32616.000000,30672.000000,30708.000000,29886.548828,42
2010-02-12,31288.000000,31408.000000,30556.000000,30556.000000,29738.615234,33
2010-02-16,29012.000000,29444.000000,28068.000000,28068.000000,27317.171875,12
2010-02-17,27604.000000,28032.000000,27580.000000,27580.000000,26842.220703,32
2010-02-18,27620.000000,27648.000000,26840.000000,26840.000000,26122.021484,45
2010-02-19,27200.000000,27248.000000,26472.000000,26716.000000,26001.337891,33
2010-02-22,26232.000000,26716.000000,26232.000000,26364.000000,25658.750000,20
2010-02-23,26636.000000,27644.000000,26576.000000,27444.000000,26709.865234,111
2010-02-24,27148.000000,27240.000000,26336.000000,26948.000000,26227.128906,99
2010-02-25,27792.000000,27976.000000,26660.000000,26776.000000,26059.734375,108
2010-02-26,26612.000000,27400.000000,26532.000000,26952.000000,26231.023438,234
2010-03-01,26316.000000,26316.000000,25100.000000,25180.000000,24506.421875,312
2010-03-02,24876.000000,24920.000000,24200.000000,24556.000000,23899.117188,128
2010-03-03,24228.000000,24528.000000,23760.000000,24276.000000,23626.605469,85
2010-03-04,23980.000000,24396.000000,23884.000000,23936.000000,23295.697266,60
2010-03-05,23500.000000,23576.000000,22388.000000,22512.000000,21909.796875,131
2010-03-08,22496.000000,22496.000000,22180.000000,22304.000000,21707.361328,94
2010-03-09,22524.000000,22524.000000,21624.000000,22124.000000,21532.169922,197
2010-03-10,21920.000000,21920.000000,21220.000000,21540.000000,20963.794922,419
2010-03-11,21880.000000,22100.000000,21264.000000,21328.000000,20757.466797,1235
2010-03-12,21224.000000,21792.000000,21224.000000,21360.000000,20788.611328,227
2010-03-15,21536.000000,22020.000000,21340.000000,21552.000000,20975.476563,181
2010-03-16,21276.000000,21648.000000,21020.000000,21020.000000,20457.703125,151
2010-03-17,20848.000000,20848.000000,20292.000000,20636.000000,20083.978516,205
2010-03-18,20656.000000,20932.000000,20392.000000,20824.000000,20266.949219,152
2010-03-19,21632.000000,21812.000000,20944.000000,21632.000000,21053.332031,253
2010-03-22,22084.000000,22208.000000,20636.000000,20724.000000,20169.625000,430
2010-03-23,20632.000000,20864.000000,19900.000000,19936.000000,19402.705078,311
2010-03-24,20160.000000,20588.000000,20036.000000,20584.000000,20033.373047,348
2010-03-25,20068.000000,21024.000000,19632.000000,21000.000000,20438.240234,460
2010-03-26,20632.000000,21216.000000,20364.000000,20984.000000,20422.669922,312
2010-03-29,20732.000000,20976.000000,20552.000000,20632.000000,20080.082031,47
2010-03-30,20512.000000,20884.000000,20176.000000,20536.000000,19986.656250,132
2010-03-31,20716.000000,21000.000000,20100.000000,20968.000000,20407.093750,313
2010-04-01,20480.000000,21004.000000,20184.000000,20448.000000,19901.009766,366
2010-04-05,20224.000000,20368.000000,19248.000000,19264.000000,18748.677734,275
2010-04-06,19424.000000,19508.000000,18776.000000,18920.000000,18413.880859,310
2010-04-07,18956.000000,19412.000000,18776.000000,19076.000000,18565.705078,438
2010-04-08,19296.000000,19676.000000,18888.000000,19068.000000,18557.923828,126
2010-04-09,19044.000000,19288.000000,18804.000000,18820.000000,18316.552734,148
2010-04-12,18764.000000,18876.000000,18480.000000,18636.000000,18137.480469,102
2010-04-13,18656.000000,18972.000000,18392.000000,18440.000000,17946.722656,164
2010-04-14,18080.000000,18096.000000,17248.000000,17260.000000,16798.287109,185
2010-04-15,17240.000000,17304.000000,16980.000000,17088.000000,16630.888672,247
2010-04-16,17228.000000,18108.000000,17080.000000,17756.000000,17281.017578,547
2010-04-19,18088.000000,18756.000000,17584.000000,18028.000000,17545.742188,698
2010-04-20,17712.000000,17924.000000,17260.000000,17268.000000,16806.072266,475
2010-04-21,17292.000000,17356.000000,16832.000000,16928.000000,16475.167969,264
2010-04-22,17460.000000,17684.000000,16296.000000,16364.000000,15926.255859,494
2010-04-23,16308.000000,16548.000000,15820.000000,15840.000000,15416.273438,432
2010-04-26,15816.000000,16040.000000,15568.000000,16040.000000,15610.922852,310
