Date,Open,High,Low,Close,Adj Close,Volume
2008-11-20,1156320.000000,1360608.000000,1074720.000000,1349184.000000,1320100.750000,142
2008-11-21,1257600.000000,1503168.000000,1113984.000000,1125312.000000,1101054.375000,175
2008-11-24,1068576.000000,1123392.000000,848160.000000,885984.000000,866885.562500,107
2008-11-25,846624.000000,939168.000000,833088.000000,843936.000000,825743.875000,109
2008-11-26,903840.000000,904992.000000,688800.000000,699456.000000,684378.312500,154
2008-11-28,723552.000000,726336.000000,665280.000000,668544.000000,654132.750000,53
2008-12-01,727776.000000,912000.000000,719040.000000,900096.000000,880693.312500,200
2008-12-02,850272.000000,898944.000000,744000.000000,748896.000000,732752.625000,200
2008-12-03,806688.000000,813984.000000,668640.000000,681792.000000,667095.125000,370
2008-12-04,720000.000000,789888.000000,646464.000000,751680.000000,735476.562500,319
2008-12-05,790560.000000,840000.000000,640800.000000,648096.000000,634125.500000,365
2008-12-08,598656.000000,610080.000000,544224.000000,564000.000000,551842.187500,264
2008-12-09,578304.000000,625632.000000,518400.000000,611424.000000,598244.000000,383
2008-12-10,590784.000000,608160.000000,543072.000000,570240.000000,557947.812500,315
2008-12-11,587616.000000,674016.000000,564192.000000,655488.000000,641358.187500,315
2008-12-12,705984.000000,720384.000000,580608.000000,584928.000000,572319.187500,320
2008-12-15,570336.000000,669120.000000,565920.000000,643968.000000,630086.500000,249
2008-12-16,603744.000000,609504.000000,511680.000000,512256.000000,501213.656250,244
2008-12-17,529440.000000,540000.000000,478080.000000,498432.000000,487687.718750,235
2008-12-18,502080.000000,544800.000000,474336.000000,517248.000000,506098.093750,243
2008-12-19,491040.000000,516960.000000,459360.000000,497088.000000,486372.656250,277
2008-12-22,493728.000000,579840.000000,493728.000000,531744.000000,520281.656250,275
2008-12-23,522048.000000,564960.000000,510720.000000,558816.000000,546770.125000,244
2008-12-24,552096.000000,572352.000000,540000.000000,549696.000000,537846.687500,89
2008-12-26,532224.000000,553248.000000,523200.000000,523200.000000,511921.781250,114
2008-12-29,529440.000000,579264.000000,524064.000000,556800.000000,544797.500000,193
2008-12-30,539904.000000,550848.000000,500832.000000,503520.000000,492666.031250,184
2008-12-31,498432.000000,501696.000000,434400.000000,459744.000000,449833.656250,317
2009-01-02,450528.000000,466080.000000,426528.000000,441600.000000,432080.812500,313
2009-01-05,432000.000000,459072.000000,423552.000000,432096.000000,422781.625000,347
2009-01-06,422208.000000,430464.000000,395328.000000,411456.000000,402586.562500,325
2009-01-07,435456.000000,463968.000000,430080.000000,446688.000000,437059.093750,396
2009-01-08,456480.000000,461760.000000,436320.000000,439104.000000,429638.593750,356
2009-01-09,436704.000000,492672.000000,435072.000000,492000.000000,481394.343750,373
2009-01-12,492768.000000,537600.000000,487872.000000,532800.000000,521314.875000,337
2009-01-13,534432.000000,542688.000000,502176.000000,511488.000000,500462.250000,512
2009-01-14,543552.000000,582720.000000,532800.000000,578112.000000,565650.125000,554
2009-01-15,575616.000000,633792.000000,529728.000000,549696.000000,537846.687500,708
2009-01-16,514560.000000,585600.000000,513408.000000,531648.000000,520187.656250,608
2009-01-20,552480.000000,640224.000000,541440.000000,639360.000000,625577.875000,613
2009-01-21,609312.000000,652128.000000,534528.000000,544416.000000,532680.437500,599
2009-01-22,576384.000000,617376.000000,548256.000000,589536.000000,576827.812500,679
