Date,Open,High,Low,Close,Adj Close,Volume
12/02/2010,67808,68992,65664,65760,64469.91797,22549
16/02/2010,64064,65120,61088,61216,60015.05859,17497
17/02/2010,60032,61440,59808,60480,59293.5,16060
18/02/2010,61440,61472,59040,59648,58477.82422,17595
19/02/2010,60608,60640,58240,58816,57662.14063,18012
22/02/2010,58208,58496,56000,57120,55999.41797,17689
23/02/2010,57600,60288,56448,59680,58509.19141,23326
24/02/2010,59616,59616,56736,56928,55811.17969,20483
25/02/2010,58880,60000,57280,57312,56187.64844,23940
26/02/2010,57376,58176,55872,56480,55371.97266,15896
01/03/2010,55936,56608,55488,55936,54838.64844,12861
02/03/2010,55552,55616,54016,55168,54085.70703,18038
03/03/2010,55104,55712,54016,55360,54273.94141,15359
04/03/2010,54944,55232,53792,53984,52924.9375,13879
05/03/2010,52960,53312,50464,50688,49693.60156,21270
08/03/2010,50464,50624,49760,50112,49128.89844,11518
09/03/2010,50880,51232,48672,49728,48752.43359,20429
10/03/2010,48768,49056,47296,47936,46995.58984,24618
11/03/2010,48352,48480,46784,46848,45928.92969,18880
12/03/2010,45760,47744,45600,46880,45960.30469,20637
15/03/2010,47968,48704,46912,47168,46242.65625,19810
16/03/2010,46528,47040,45312,45376,44485.80469,16775
17/03/2010,44768,44832,43264,43872,43011.31641,21077
18/03/2010,43936,45088,43840,44384,43513.27344,16541
19/03/2010,45344,45760,43904,45344,44454.43359,19087
22/03/2010,46560,46688,44480,44576,43701.5,20566
23/03/2010,44288,44992,43552,43744,42885.82422,17094
24/03/2010,44320,44384,42912,43360,42509.35938,17433
25/03/2010,42528,43008,40256,42848,42007.40234,34672
26/03/2010,42336,43456,41248,42720,41881.91797,29734
29/03/2010,41984,43392,41792,42592,41756.42969,17896
30/03/2010,42560,43616,42112,43264,42415.24609,18033
31/03/2010,44000,44096,42528,43104,42258.38281,17908
01/04/2010,42112,42848,41760,42048,41223.10547,14970
05/04/2010,41376,41696,40640,40640,39842.71875,13523
06/04/2010,40800,40960,39040,39168,38399.60547,17076
07/04/2010,39168,40416,38592,39840,39058.41797,20588
08/04/2010,40320,40608,38592,38912,38148.62109,18444
09/04/2010,38432,39040,38176,38336,37583.92188,16153
12/04/2010,38112,38208,37504,37888,37144.70703,12094
13/04/2010,38080,38432,37536,37760,37019.21875,12319
14/04/2010,36352,36544,34848,34880,34195.72266,22201
15/04/2010,34752,35552,34496,35328,34634.92969,17640
16/04/2010,35744,40288,35616,38976,38211.37109,65685
19/04/2010,40160,40224,37600,37888,37144.70703,45833
20/04/2010,37056,37760,36352,36352,35638.84375,24611
21/04/2010,36288,37888,35392,36800,36078.05469,26708
22/04/2010,37760,38240,35744,35904,35199.63281,32056
23/04/2010,35776,36352,35232,35488,34791.79688,20991
26/04/2010,35552,37344,35520,37248,36517.26563,20281
27/04/2010,38272,40960,37120,40704,39905.46484,37322
28/04/2010,39200,40192,38336,39200,38430.96875,27688
29/04/2010,38016,38304,36000,36544,35827.07031,24689
30/04/2010,37120,39360,36800,39168,38399.60547,28854
03/05/2010,38176,38656,36928,37280,36548.63672,19369
04/05/2010,38624,40704,38400,40064,39278.02344,33727
05/05/2010,42016,42368,38848,40768,39968.21484,32143
06/05/2010,41184,51104,40192,45728,44830.90234,51353
07/05/2010,45568,49312,43328,47392,46462.26172,48601
10/05/2010,40384,42240,39360,39936,39152.53516,34280
11/05/2010,41600,41696,38592,40288,39497.62891,27355
12/05/2010,39456,40320,38720,38848,38085.87891,22438
13/05/2010,39072,40640,38720,40544,39748.60547,16662
14/05/2010,42208,45216,42176,44000,43136.80469,31007
17/05/2010,44096,47072,42880,44064,43199.54688,26706
18/05/2010,42624,48800,42592,47968,47026.96484,32807
19/05/2010,49216,50464,46208,47808,46870.10156,34668
20/05/2010,50336,54240,49856,54208,53144.54688,38165
21/05/2010,57280,57312,48224,48544,47591.66016,39565
24/05/2010,47904,52544,47840,52288,51262.21094,23129
25/05/2010,56544,57536,51072,51200,50195.55469,32558
26/05/2010,48576,52864,48288,52064,51042.60938,27225
27/05/2010,48672,49568,45280,45280,44391.69141,24869
28/05/2010,45600,48416,45568,47776,46838.73047,23259
