Date,Open,High,Low,Close,Adj Close,Volume
12/02/2010,20572.16016,20728.32031,20154.88086,20339.19922,19697.98633,14
16/02/2010,19809.2793,19824.64063,19095.03906,19166.7207,18562.47266,24
17/02/2010,19002.88086,19056.64063,18810.88086,18905.59961,18309.58203,22
18/02/2010,18979.83984,18979.83984,18380.80078,18416.64063,17836.03516,93
19/02/2010,18549.75977,18670.08008,18168.32031,18365.43945,17786.45117,220
22/02/2010,18168.32031,18488.32031,18168.32031,18462.7207,17880.66602,38
23/02/2010,18529.2793,18992.64063,18293.75977,18977.2793,18379.00586,132
24/02/2010,18785.2793,18887.67969,18360.32031,18470.40039,17888.10352,189
25/02/2010,19304.96094,19425.2793,18711.03906,18711.03906,18121.1543,178
26/02/2010,18677.75977,18982.40039,18567.67969,18711.03906,18121.1543,139
01/03/2010,18485.75977,18552.32031,18237.43945,18301.43945,17724.4668,80
02/03/2010,18176,18327.03906,18035.19922,18311.67969,17734.38867,110
03/03/2010,18147.83984,18396.16016,17971.19922,18319.35938,17741.82422,70
04/03/2010,18211.83984,18278.40039,18048,18060.80078,17491.41602,47
05/03/2010,17920,17920,17405.43945,17428.48047,16879.0293,318
08/03/2010,17423.35938,17500.16016,17423.35938,17495.03906,16943.49219,31
09/03/2010,17510.40039,17528.32031,17254.40039,17418.24023,16869.11328,83
10/03/2010,17369.59961,17512.96094,17254.40039,17384.96094,16836.88086,75
11/03/2010,17461.75977,17635.83984,17154.56055,17154.56055,16613.74219,101
12/03/2010,16939.51953,17213.43945,16939.51953,17093.11914,16554.24414,172
15/03/2010,17131.51953,17290.24023,16995.83984,17003.51953,16467.4668,52
16/03/2010,16924.16016,17082.88086,16752.64063,16752.64063,16224.49707,122
17/03/2010,16668.16016,16668.16016,16407.03906,16583.67969,16060.86328,69
18/03/2010,16514.56055,16532.48047,16330.24023,16353.28027,15837.72656,71
19/03/2010,16535.03906,16698.88086,16174.08008,16535.03906,16013.75684,144
22/03/2010,16701.43945,16724.48047,16227.83984,16286.71973,15773.26465,127
23/03/2010,16222.71973,16284.16016,15838.71973,15859.2002,15359.22266,136
24/03/2010,15979.51953,16107.51953,15869.44043,16061.44043,15555.08887,68
25/03/2010,15772.16016,16066.55957,15564.79981,16035.83984,15530.29492,125
26/03/2010,15948.79981,16122.87988,15764.48047,15987.2002,15483.1875,75
29/03/2010,15843.83984,15861.75977,15736.32031,15787.51953,15289.80273,79
30/03/2010,15800.32031,15877.12012,15242.24023,15772.16016,15274.92773,52
31/03/2010,15843.83984,16046.08008,15779.83984,15976.95996,15473.27051,129
01/04/2010,15651.83984,15902.71973,15526.40039,15641.59961,15148.48438,75
05/04/2010,15516.16016,15646.71973,15393.28027,15449.59961,14962.53711,53
06/04/2010,15585.28027,15621.12012,15393.28027,15467.51953,14979.8916,154
07/04/2010,15572.48047,15918.08008,15464.95996,15754.24023,15257.57324,78
08/04/2010,15892.48047,15966.71973,15518.71973,15598.08008,15106.33594,71
09/04/2010,15526.40039,15564.79981,15308.79981,15316.48047,14833.61426,67
12/04/2010,15244.79981,15316.48047,15173.12012,15306.24023,14823.69629,47
13/04/2010,15324.16016,15513.59961,15157.75977,15232,14751.79785,54
14/04/2010,15068.16016,15078.40039,14784,14799.36035,14332.79688,91
15/04/2010,14850.55957,14860.79981,14656,14696.95996,14233.62402,120
16/04/2010,14776.32031,15360,14720,15183.36035,14704.69043,182
19/04/2010,15321.59961,15360,14891.51953,14899.2002,14429.48828,104
20/04/2010,14763.51953,14912,14691.83984,14817.28027,14350.15234,74
21/04/2010,14791.67969,14955.51953,14656,14776.32031,14310.48145,101
22/04/2010,15034.87988,15178.24023,14656,14712.32031,14248.5,93
23/04/2010,14740.48047,14786.55957,14443.51953,14446.08008,13990.6543,123
26/04/2010,14330.87988,14417.91992,14248.95996,14417.91992,13963.38184,52
