Date,Open,High,Low,Close,Adj Close,Volume
12/02/2010,23537.5,23812.5,22800,22837.5,22378.23242,10280
16/02/2010,22312.5,22537.5,21650,21737.5,21300.35156,5389
17/02/2010,21387.5,21675,21300,21387.5,20957.39063,5859
18/02/2010,21500,21512.5,20875,20987.5,20565.4375,5689
19/02/2010,21162.5,21312.5,20625,20862.5,20442.95117,5334
22/02/2010,20625,21025,20612.5,20887.5,20467.44727,4282
23/02/2010,21037.5,21812.5,20862.5,21687.5,21251.36133,6854
24/02/2010,21487.5,21637.5,20987.5,21075,20651.17773,5774
25/02/2010,21975,22137.5,21100,21112.5,20687.92383,7110
26/02/2010,21075,21450,20887.5,21062.5,20638.92578,4448
01/03/2010,20775,20800,20325,20387.5,19977.50195,3960
02/03/2010,20100,20287.5,19900,20187.5,19781.52539,3746
03/03/2010,20000,20275,19762.5,20137.5,19732.5293,4149
04/03/2010,20075,20287.5,19875,19975,19573.29883,3831
05/03/2010,19575,19712.5,19062.5,19100,18715.89648,4460
08/03/2010,19075,19187.5,18962.5,19075,18691.39648,2805
09/03/2010,19275,19275,18712.5,18987.5,18605.6543,3974
10/03/2010,18937.5,19000,18562.5,18687.5,18311.6875,4057
11/03/2010,18825,19012.5,18462.5,18487.5,18115.71289,3672
12/03/2010,18212.5,18612.5,18212.5,18450,18078.96289,4169
15/03/2010,18550,18875,18412.5,18462.5,18091.2168,3392
16/03/2010,18300,18450,17937.5,17987.5,17625.76758,3363
17/03/2010,17812.5,17850,17487.5,17650,17295.05469,4477
18/03/2010,17650,17912.5,17575,17712.5,17356.29883,3419
19/03/2010,18000,18200,17550,18000,17638.01563,4159
22/03/2010,18337.5,18362.5,17587.5,17687.5,17331.80078,5093
23/03/2010,17587.5,17762.5,17250,17300,16952.0918,4399
24/03/2010,17500,17650,17325,17525,17172.56836,5260
25/03/2010,17187.5,17725,17000,17675,17319.55469,5484
26/03/2010,17575,17912.5,17312.5,17662.5,17307.30273,6543
29/03/2010,17437.5,17525,17262.5,17337.5,16988.83789,4785
