Date,Open,High,Low,Close,Adj Close,Volume
12/02/2010,101465.6016,101542.3984,97216,97715.20313,93845.67188,41
16/02/2010,95590.39844,97190.39844,93952,94246.39844,90514.22656,36
17/02/2010,92992,94387.20313,92531.20313,92800,89125.10156,36
18/02/2010,92684.79688,93120,90304,90572.79688,86986.10156,33
19/02/2010,91392,92134.39844,89600,90816,87219.67188,35
22/02/2010,89830.39844,92390.39844,89766.39844,91379.20313,87760.57031,25
23/02/2010,91571.20313,96051.20313,91558.39844,95052.79688,91288.6875,42
24/02/2010,93414.39844,93836.79688,90956.79688,92083.20313,88436.70313,52
25/02/2010,94988.79688,96768,91443.20313,91443.20313,87822.03906,45
26/02/2010,92160,93043.20313,90636.79688,90944,87342.60156,36
01/03/2010,89881.60156,89945.60156,86656,86937.60156,83494.85156,43
02/03/2010,86144,86796.79688,84710.39844,86272,82855.63281,17
03/03/2010,85964.79688,86924.79688,84800,86272,82855.63281,21
04/03/2010,85798.39844,86988.79688,84889.60156,85196.79688,81822.98438,35
05/03/2010,83072,83635.20313,80998.39844,81420.79688,78196.51563,47
08/03/2010,80883.20313,81036.79688,80256,80755.20313,77557.28906,22
09/03/2010,81459.20313,81459.20313,78080,79360,76217.34375,64
10/03/2010,78656,78796.79688,76940.79688,77452.79688,74385.64844,43
11/03/2010,77926.39844,78336,76646.39844,76697.60156,73660.35938,52
12/03/2010,75724.79688,77299.20313,75724.79688,76582.39844,73549.72656,42
15/03/2010,77107.20313,78579.20313,76518.39844,77043.20313,73992.27344,43
16/03/2010,76364.79688,76992,75289.60156,75558.39844,72566.28125,39
17/03/2010,75302.39844,75520,73945.60156,75200,72222.07813,56
18/03/2010,74764.79688,75264,73996.79688,74304,71361.55469,45
19/03/2010,75648,76300.79688,73446.39844,75648,72652.32031,68
22/03/2010,76352,76672,72588.79688,73523.20313,70611.67969,113
23/03/2010,73139.20313,74022.39844,71808,72064,69210.25781,85
24/03/2010,72422.39844,73459.20313,72332.79688,72832,69947.85156,97
25/03/2010,71270.39844,73523.20313,70400,73433.60156,70525.61719,104
26/03/2010,72460.79688,74201.60156,71590.39844,72985.60156,70095.35156,73
29/03/2010,71987.20313,72563.20313,71398.39844,72038.39844,69185.64844,59
30/03/2010,71411.20313,72576,70720,71334.39844,68509.55469,40
31/03/2010,72102.39844,72665.60156,71104,72115.20313,69259.4375,84
01/04/2010,71449.60156,73894.39844,70041.60156,72268.79688,69406.94531,68
05/04/2010,71923.20313,72345.60156,69824,70272,67489.23438,90
06/04/2010,70809.60156,71104,69081.60156,69708.79688,66948.32813,72
07/04/2010,70208,71257.60156,69248,70067.20313,67292.53906,85
08/04/2010,70796.79688,71769.60156,69427.20313,69824,67058.96094,50
09/04/2010,69568,70105.60156,68390.39844,68505.60156,65792.76563,59
12/04/2010,68313.60156,68684.79688,67763.20313,68288,65583.78906,62
13/04/2010,68518.39844,68889.60156,67123.20313,67212.79688,64551.16016,110
14/04/2010,66176,66432,64832,64870.39844,62301.52734,114
15/04/2010,64870.39844,64870.39844,63833.60156,64076.80078,61539.34766,99
16/04/2010,64678.39844,67456,64012.80078,66099.20313,63481.66797,200
19/04/2010,66995.20313,68748.79688,65843.20313,66380.79688,63752.11328,193
20/04/2010,65280,66611.20313,64908.80078,65484.80078,62891.59375,110
21/04/2010,64064,65318.39844,63641.60156,64179.19922,61637.69141,123
22/04/2010,66086.39844,67097.60156,62988.80078,63180.80078,60678.82813,243
23/04/2010,63244.80078,63820.80078,62220.80078,62412.80078,59941.24219,87
26/04/2010,62246.39844,63078.39844,61862.39844,62835.19922,60346.91406,105
27/04/2010,63488,67238.39844,62720,66688,64047.15234,222
28/04/2010,65600,68134.39844,65600,66585.60156,63948.80078,402
29/04/2010,65664,65664,62796.80078,63142.39844,60641.94922,219
30/04/2010,63244.80078,67008,62937.60156,66880,64231.53516,206
03/05/2010,66060.79688,66099.20313,63104,64038.39844,61502.46484,185
04/05/2010,66432,71091.20313,66406.39844,69836.79688,67071.25,357
05/05/2010,71769.60156,73152,69504,70771.20313,67968.65625,379
06/05/2010,72230.39844,96524.79688,60864,77977.60156,74889.67188,582
07/05/2010,79744,88384,76787.20313,83084.79688,79794.63281,590
10/05/2010,72857.60156,73318.39844,70720,71014.39844,68202.22656,438
11/05/2010,72819.20313,73344,68108.79688,70937.60156,68128.45313,313
12/05/2010,69952,70169.60156,66816,67072,64415.94531,222
13/05/2010,67865.60156,70553.60156,66291.20313,70182.39844,67403.15625,207
14/05/2010,71782.39844,76620.79688,71744,74188.79688,71250.91406,329
17/05/2010,73651.20313,78220.79688,72665.60156,73625.60156,70710.01563,223
18/05/2010,71680,77427.20313,71219.20313,76492.79688,73463.67188,221
19/05/2010,77337.60156,80857.60156,75558.39844,78323.20313,75221.59375,446
20/05/2010,82662.39844,87500.79688,82316.79688,85977.60156,82572.875,487
21/05/2010,91161.60156,92121.60156,82227.20313,85030.39844,81663.17969,597
24/05/2010,84403.20313,85196.79688,81484.79688,84428.79688,81085.41406,333
25/05/2010,90777.60156,93209.60156,84544,85081.60156,81712.35938,611
26/05/2010,83648,88140.79688,80025.60156,87603.20313,84134.10156,313
27/05/2010,81612.79688,82444.79688,77760,77760,74680.69531,367
28/05/2010,77555.20313,81152,77235.20313,79193.60156,76057.52344,381
01/06/2010,79910.39844,81587.20313,75801.60156,81472,78245.70313,294
02/06/2010,79936,81561.60156,75379.20313,75686.39844,72689.20313,226
03/06/2010,74969.60156,76275.20313,73024,73420.79688,70513.33594,335
04/06/2010,78028.79688,81600,75225.60156,80793.60156,77594.17969,574
07/06/2010,79513.60156,85440,78988.79688,85248,81872.17969,410
08/06/2010,84723.20313,89190.39844,84147.20313,85657.60156,82265.55469,596
09/06/2010,84096,88614.39844,81651.20313,87948.79688,84466,446
10/06/2010,84569.60156,85376,80089.60156,80256,77077.85156,525
11/06/2010,82726.39844,82803.20313,77875.20313,78144,75049.48438,464
14/06/2010,75916.79688,78464,74304,78336,75233.88281,298
15/06/2010,76953.60156,77107.20313,71564.79688,71948.79688,69099.625,341
16/06/2010,72371.20313,72755.20313,69888,70809.60156,68005.53906,359
17/06/2010,69836.79688,72076.79688,69632,69913.60156,67145.02344,232
18/06/2010,69721.60156,70604.79688,68544,69875.20313,67108.125,186
21/06/2010,67404.79688,72960,67097.60156,71692.79688,68853.75781,560
22/06/2010,70950.39844,73856,69388.79688,73433.60156,70525.61719,531
23/06/2010,73203.20313,76121.60156,72499.20313,74316.79688,71373.84375,437
24/06/2010,75353.60156,78400,74726.39844,78092.79688,75000.30469,372
25/06/2010,77107.20313,79744,76224,78016,74926.55469,218
28/06/2010,78016,80512,76800,78912,75787.07813,259
29/06/2010,82585.60156,89715.20313,82355.20313,87641.60156,84170.97656,609
30/06/2010,88921.60156,92608,86272,91942.39844,88301.47656,524
01/07/2010,91340.79688,98124.79688,90547.20313,92812.79688,89137.38281,790
02/07/2010,92428.79688,96166.39844,91417.60156,93580.79688,89874.99219,342
06/07/2010,89587.20313,95052.79688,87705.60156,92710.39844,89039.04688,493
07/07/2010,91827.20313,92032,83635.20313,83942.39844,80618.26563,322
08/07/2010,81958.39844,85491.20313,81472,82688,79413.53906,313
09/07/2010,82675.20313,85696,80064,80064,76893.46094,292
12/07/2010,80294.39844,81062.39844,78028.79688,79372.79688,76229.61719,222
13/07/2010,77363.20313,79155.20313,75507.20313,76646.39844,73611.1875,295
14/07/2010,76057.60156,76876.79688,74009.60156,75136,72160.60938,261
15/07/2010,75724.79688,77964.79688,74316.79688,74739.20313,71779.50781,300
16/07/2010,75916.79688,81408,75520,80755.20313,77557.28906,447
19/07/2010,80422.39844,82470.39844,78592,79116.79688,75983.76563,443
20/07/2010,82931.20313,83622.39844,76096,76096,73082.58594,413
21/07/2010,73830.39844,79718.39844,73728,79206.39844,76069.8125,336
22/07/2010,76108.79688,76134.39844,72281.60156,73830.39844,70906.70313,311
23/07/2010,74764.79688,75225.60156,71756.79688,71910.39844,69062.74219,418
26/07/2010,71680,72640,70080,70272,67489.23438,159
27/07/2010,69132.79688,71180.79688,68966.39844,70080,67304.8125,225
28/07/2010,70502.39844,72652.79688,69542.39844,71654.39844,68816.86719,174
29/07/2010,70745.60156,75622.39844,70297.60156,73484.79688,70574.78906,411
30/07/2010,75302.39844,76620.79688,71680,72934.39844,70046.17969,552
02/08/2010,70374.39844,71129.60156,68377.60156,68992,66259.91406,348
03/08/2010,69158.39844,70732.79688,68953.60156,69824,67058.96094,204
04/08/2010,68787.20313,69670.39844,67468.79688,67788.79688,65104.35547,167
05/08/2010,68684.79688,69440,67827.20313,68044.79688,65350.20313,177
06/08/2010,70451.20313,71500.79688,67916.79688,68352,65645.25,295
09/08/2010,67430.39844,68710.39844,66560,68710.39844,65989.46094,120
10/08/2010,68723.20313,70400,67686.39844,68505.60156,65792.76563,246
11/08/2010,72268.79688,75161.60156,72153.60156,74214.39844,71275.5,278
12/08/2010,78566.39844,79040,75212.79688,76057.60156,73045.71094,338
13/08/2010,77004.79688,77785.60156,76057.60156,77785.60156,74705.27344,181
16/08/2010,79001.60156,79948.79688,75750.39844,77324.79688,74262.71875,231
17/08/2010,75763.20313,76083.20313,72320,74214.39844,71275.5,236
18/08/2010,74854.39844,75596.79688,72128,73344,70439.58594,185
19/08/2010,74752,78259.20313,73984,76556.79688,73525.14063,355
20/08/2010,77068.79688,78400,76057.60156,76633.60156,73598.89844,232
23/08/2010,74867.20313,78796.79688,74380.79688,78771.20313,75651.85938,218
24/08/2010,81305.60156,84096,80665.60156,83148.79688,79856.08594,390
25/08/2010,84825.60156,85248,79692.79688,80908.79688,77704.80469,380
26/08/2010,79872,83840,79360,83712,80396.99219,355
27/08/2010,81881.60156,87027.20313,80102.39844,80294.39844,77114.72656,526
30/08/2010,81779.20313,83136,79628.79688,82828.79688,79548.75781,304
31/08/2010,84480,85491.20313,81856,83673.60156,80360.11719,401
