Date,Open,High,Low,Close,Adj Close,Volume
12/02/2010,102624,103296,97248,97248,95151.6875,2623
16/02/2010,94368,96960,92160,92448,90455.16406,2134
17/02/2010,91008,92640,89952,90528,88576.5625,2204
18/02/2010,90528,91392,88224,88224,86322.21875,2383
19/02/2010,89280,89760,86592,87744,85852.57031,2124
22/02/2010,86400,88032,86208,87072,85195.05469,1573
23/02/2010,87456,90912,87072,90144,88200.83594,2613
24/02/2010,89184,89856,86496,87840,85946.50781,2084
25/02/2010,91296,92160,87456,87744,85852.57031,2534
26/02/2010,87264,90144,87072,88800,86885.80469,1737
01/03/2010,86784,86784,82368,82752,80968.16406,2676
02/03/2010,81600,81984,79296,80736,78995.64063,2405
03/03/2010,79392,80544,77952,79296,77586.67969,2122
04/03/2010,79200,80256,78336,78624,76929.16406,1600
05/03/2010,77184,77856,73440,73920,72326.57031,2684
08/03/2010,73824,74112,72672,73440,71856.91406,1746
09/03/2010,74112,74112,70848,72480,70917.59375,2513
10/03/2010,72384,72480,69504,70752,69226.86719,3048
11/03/2010,72000,72768,69696,69984,68475.41406,3105
12/03/2010,68928,71520,68736,70080,68569.34375,2308
15/03/2010,70368,72384,69888,70848,69320.78125,2431
16/03/2010,69792,71232,68928,68928,67442.17969,1905
17/03/2010,68544,68544,66528,67584,66127.14063,3072
18/03/2010,67968,68640,66816,68256,66784.64844,1823
19/03/2010,71136,71616,67584,71136,69602.57813,2850
22/03/2010,72480,72960,67488,68064,66596.78906,3328
23/03/2010,67680,68640,65184,65472,64060.66797,3220
24/03/2010,66336,67584,65664,67584,66127.14063,2281
25/03/2010,65568,68928,64320,68832,67348.24219,3035
26/03/2010,67968,69696,66624,68736,67254.3125,2999
29/03/2010,67968,68736,67104,67776,66315,2101
30/03/2010,67296,68640,66144,67104,65657.48438,2221
31/03/2010,67968,68832,65856,68736,67254.3125,2312
01/04/2010,67104,69024,66144,67008,65563.54688,2083
05/04/2010,66432,67008,63072,63072,61712.40625,2939
06/04/2010,63744,64128,61632,62016,60679.16406,2747
07/04/2010,62208,63840,61536,62496,61148.82813,2270
08/04/2010,63264,64608,61824,62496,61148.82813,3596
09/04/2010,62592,63648,61632,61728,60397.375,1970
12/04/2010,61536,62016,60480,60960,59645.92969,2681
13/04/2010,61248,62400,60384,60480,59176.28125,1867
14/04/2010,59424,59712,56544,56544,55325.125,3334
15/04/2010,56544,56832,55680,55968,54761.53906,2586
16/04/2010,56448,59424,55872,58272,57015.87891,4917
19/04/2010,59232,61536,57504,59040,57767.32031,4206
20/04/2010,58176,58944,56544,56736,55512.98047,2661
21/04/2010,56352,57024,55200,55488,54291.88672,3405
22/04/2010,57216,58080,53376,53568,52413.27734,4380
23/04/2010,53376,54336,51744,51936,50816.45313,2857
26/04/2010,51840,52608,50880,52608,51473.96875,2481
27/04/2010,53184,56448,51744,56160,54949.39844,4642
28/04/2010,55104,56832,54720,55776,54573.68359,2941
29/04/2010,54528,55680,52224,52224,51098.25,2614
30/04/2010,52320,56928,52032,56832,55606.91797,2955
03/05/2010,55776,55968,52992,53184,52037.55469,2771
04/05/2010,55392,58944,55392,57888,56640.15234,4192
05/05/2010,59424,61920,57984,60480,59176.28125,5665
06/05/2010,61920,77664,59808,67200,65751.41406,10757
07/05/2010,69024,75360,66336,72960,71387.25,9109
10/05/2010,62304,64512,60768,60864,59552,5480
11/05/2010,63072,63648,56928,59520,58236.97266,5528
12/05/2010,58656,58848,53952,54144,52976.85547,4778
13/05/2010,54432,56448,52992,55680,54479.74609,4768
14/05/2010,56832,61056,56736,58848,57579.46094,5650
17/05/2010,57696,63456,56256,58560,57297.66406,5338
18/05/2010,56160,62400,55680,61728,60397.375,5644
19/05/2010,62688,66624,60576,64032,62651.70703,6943
20/05/2010,69120,73920,68160,73728,72138.70313,8109
