Date,Open,High,Low,Close,Adj Close,Volume
2010-11-02,1.397083,1.416979,1.390625,1.405625,1.402112,17030400
2010-11-03,1.412708,1.426354,1.374063,1.425938,1.422374,28790400
2010-11-04,1.475625,1.493958,1.465313,1.476458,1.472768,27964800
2010-11-05,1.480000,1.487083,1.465625,1.478229,1.474535,28492800
2010-11-08,1.470729,1.489583,1.460104,1.481979,1.478275,25862400
2010-11-09,1.503021,1.508229,1.439896,1.458021,1.454377,30470400
2010-11-10,1.465729,1.485521,1.431354,1.480313,1.476613,22992000
2010-11-11,1.411458,1.460521,1.394375,1.455417,1.451780,30460800
2010-11-12,1.431354,1.448333,1.349688,1.381354,1.377902,54566400
2010-11-15,1.405000,1.410833,1.364896,1.366563,1.363148,29798400
2010-11-16,1.337292,1.360729,1.283021,1.298750,1.295504,45408000
2010-11-17,1.301042,1.330521,1.291667,1.311042,1.307765,27792000
2010-11-18,1.353229,1.399167,1.352188,1.371979,1.368550,34684800
2010-11-19,1.367500,1.385417,1.351875,1.375208,1.371771,23356800
2010-11-22,1.358854,1.411458,1.353229,1.411458,1.407931,36864000
2010-11-23,1.369688,1.373646,1.320833,1.344792,1.341431,46464000
2010-11-24,1.383021,1.434271,1.381354,1.423333,1.419776,32371200
2010-11-26,1.398542,1.425208,1.390313,1.414375,1.410840,14918400
2010-11-29,1.390625,1.406250,1.342917,1.394688,1.391203,44131200
2010-11-30,1.350417,1.367917,1.326563,1.341667,1.338314,50179200
2010-12-01,1.403229,1.448333,1.401042,1.426979,1.423413,51715200
2010-12-02,1.433333,1.476563,1.429688,1.470313,1.466638,33033600
2010-12-03,1.452604,1.487396,1.452083,1.482604,1.478899,43862400
2010-12-06,1.482917,1.488646,1.468021,1.480000,1.476301,24768000
2010-12-07,1.534688,1.534792,1.478750,1.481354,1.477652,41107200
2010-12-08,1.496042,1.505625,1.466979,1.501875,1.498122,23356800
2010-12-09,1.526979,1.527292,1.489583,1.503438,1.499681,24969600
2010-12-10,1.513750,1.537813,1.501354,1.535000,1.531164,22051200
2010-12-13,1.554271,1.554271,1.515625,1.516979,1.513188,20188800
2010-12-14,1.528958,1.544063,1.512188,1.523333,1.519526,19219200
2010-12-15,1.522083,1.550417,1.494792,1.507813,1.504045,23894400
2010-12-16,1.509375,1.547292,1.500000,1.539271,1.535424,21532800
2010-12-17,1.544167,1.557292,1.535729,1.543958,1.540099,15302400
2010-12-20,1.552083,1.564583,1.514583,1.548125,1.544256,31536000
2010-12-21,1.566042,1.574375,1.554063,1.573646,1.569713,8400000
2010-12-22,1.573854,1.581771,1.567292,1.575313,1.571376,10800000
2010-12-23,1.567083,1.573438,1.553125,1.563333,1.559426,9216000
2010-12-27,1.550729,1.572917,1.517708,1.563958,1.560050,16041600
2010-12-28,1.575625,1.576979,1.546563,1.557188,1.553296,15868800
2010-12-29,1.570938,1.575208,1.562500,1.566458,1.562543,11366400
2010-12-30,1.567083,1.567500,1.546875,1.554688,1.550803,7190400
2010-12-31,1.551250,1.551250,1.517604,1.540417,1.536567,12182400
2011-01-03,1.581354,1.641771,1.581146,1.610000,1.605977,33379200
2011-01-04,1.630208,1.630625,1.576771,1.607500,1.603483,32880000
2011-01-05,1.591563,1.648125,1.589479,1.647396,1.643279,30720000
2011-01-06,1.653229,1.666146,1.643021,1.662292,1.658138,26131200
